"Lance.code","Lon","Lat"
"1748_7",-80.97345,-6.20581666666667
"1748_8",-80.9568166666667,-6.20735
"1748_9",-80.9718166666667,-6.18623333333333
"1748_10",-80.9724,-6.17421666666667
"1749_1",-81.0470166666667,-6.17513333333333
"1749_2",-80.8374333333333,-6.28735
"1749_3",-80.93125,-6.36105
"1749_4",-80.6897,-6.36715
"1749_5",-80.6758666666667,-6.37753333333333
"1749_6",-80.6534666666667,-6.39245
"1749_7",-80.6258333333333,-6.40606666666667
"1749_8",-80.5602166666667,-6.4479
"1749_9",-80.9893166666667,-6.17693333333333
"1750_1",-80.9143166666667,-6.2557
"1750_2",-80.75995,-6.3302
"1750_3",-80.7006333333333,-6.40303333333333
"1750_4",-80.2613333333333,-6.57171666666667
"1750_5",-80.2032666666667,-6.60703333333333
"1750_6",-80.30655,-6.73716666666667
"1750_7",-80.1100833333333,-6.68501666666667
"1751_1",-81.0618666666667,-6.12753333333333
"1751_2",-80.9758666666667,-6.22193333333333
"1751_3",-80.7661666666667,-6.33091666666667
"1751_4",-80.7522166666667,-6.33793333333333
"1751_5",-80.7587666666667,-6.33358333333333
"1751_6",-80.7408833333333,-6.35928333333333
"1751_7",-80.9589,-6.28801666666667
"1751_8",-80.9791333333333,-6.30858333333333
"1751_9",-80.9938,-6.30121666666667
"1752_1",-80.0595,-7.02513333333333
"1752_2",-80.20655,-7.1169
"1752_3",-80.1748833333333,-7.0682
"1753_1",-81.1138833333333,-5.7337
"1753_2",-81.1532,-5.68231666666667
"1754_1",-80.6777166666667,-3.39583333333333
"1754_2",-80.6395166666667,-3.37666666666667
"1754_3",-80.6268666666667,-3.36483333333333
"1755_1",-80.7168833333333,-3.39816666666667
"1755_2",-80.75055,-3.415
"1755_3",-80.7209666666667,-3.385
"1756_1",-80.6728666666667,-3.345
"1756_2",-80.68,-3.42183333333333
"1756_3",-80.8692,-3.33216666666667
"1756_4",-80.9012,-3.7365
"1756_5",-80.9185,-3.7675
"1756_6",-80.86375,-3.65833333333333
"1757_1",-80.0532,-6.7357
"1757_2",-80.14115,-6.65645
"1757_3",-80.3765333333333,-6.73111666666667
"1757_4",-80.5493,-6.7882
"1757_5",-80.6804,-6.74463333333333
"1757_6",-80.6976333333333,-6.68113333333333
"1757_7",-80.2170166666667,-6.6699
"1757_8",-80.6516166666667,-6.6751
"1758_1",-81.0214166666667,-6.14928333333333
"1758_2",-80.9430166666667,-6.22656666666667
"1758_3",-80.6722,-6.36965
"1758_4",-80.6845333333333,-6.35826666666667
"1758_5",-80.7763166666667,-6.32583333333333
"1758_6",-80.8112333333333,-6.33993333333333
"1758_7",-80.9318,-6.21923333333333
"1758_8",-81.1993166666667,-5.77965
"1759_1",-81.1146166666667,-5.72608333333333
"1759_2",-81.13885,-5.73243333333333
"1759_3",-81.1536833333333,-5.71905
"1759_4",-81.1351166666667,-5.70853333333333
"1759_5",-81.16865,-5.66966666666667
"1759_6",-81.1820333333333,-5.65355
"1760_1",-81.6781,-6.91616666666667
"1760_2",-82.2843333333333,-6.8745
"1760_3",-81.3719166666667,-6.83961666666667
"1760_4",-81.27995,-6.8736
"1761_1",-80.1174666666667,-6.90988333333333
"1761_2",-80.1912166666667,-7.00978333333333
"1761_3",-80.1883666666667,-7.06218333333333
"1761_4",-80.1868333333333,-7.10596666666667
"1761_5",-80.0621833333333,-7.18168333333333
"1761_6",-80.0384833333333,-7.18818333333333
"1761_7",-80.0386166666667,-7.19903333333333
"1761_8",-80.03945,-7.20826666666667
"1761_9",-80.0276166666667,-7.19691666666667
"1762_1",-80.5384333333333,-6.76731666666667
"1762_2",-80.6106,-6.7233
"1762_3",-80.5433166666667,-6.7298
"1763_1",-80.6225333333333,-8.75636666666667
"1763_2",-80.7554,-8.8392
"1763_3",-80.5221166666667,-8.80605
"1763_4",-81.0223166666667,-9.05536666666667
"1763_5",-81.0559166666667,-8.88941666666667
"1763_6",-80.7884833333333,-8.77285
"1763_7",-80.6074666666667,-8.51943333333333
"1763_8",-80.2893833333333,-8.20596666666667
"1763_9",-79.9894166666667,-8.2222
"1763_10",-80.1461333333333,-8.54611666666667
"1763_11",-79.9963666666667,-8.6626
"1763_12",-79.5455666666667,-8.61296666666667
"1764_1",-78.9401166666667,-8.69846666666667
"1764_2",-78.99105,-8.66753333333333
"1764_3",-79.4326666666667,-8.71553333333333
"1764_4",-79.5346333333333,-8.81966666666667
"1764_5",-79.3761166666667,-8.7091
"1764_6",-79.6952666666667,-8.53483333333333
"1764_7",-79.6676666666667,-8.19173333333333
"1764_8",-79.462,-8.35203333333333
"1765_1",-80.18935,-8.83885
"1765_2",-80.3623,-8.3466
"1765_3",-80.2800666666667,-8.39643333333333
"1765_4",-80.1794333333333,-8.72905
"1765_5",-80.9623666666667,-8.74541666666667
"1765_6",-80.8727833333333,-9.0558
"1765_7",-80.2357,-9.55365
"1765_8",-80.3355666666667,-9.58028333333333
"1765_9",-80.3965,-9.52811666666667
"1765_10",-80.2843666666667,-9.60041666666667
"1765_11",-80.3172833333333,-9.53481666666667
"1765_12",-80.2951,-9.26781666666667
"1765_13",-80.3168166666667,-9.13495
"1767_1",-78.0139333333333,-11.34025
"1767_2",-78.1782333333333,-11.1699166666667
"1767_3",-78.1803,-11.06135
"1767_4",-78.18075,-10.8465
"1767_5",-78.0865666666667,-11.0026833333333
"1767_6",-78.205,-10.8405166666667
"1767_7",-78.0959333333333,-10.8005
"1767_8",-78.1757666666667,-10.8566833333333
"1767_9",-78.2373666666667,-10.5878
"1767_10",-78.0870833333333,-10.6852666666667
"1767_11",-78.0537166666667,-10.8363333333333
"1767_12",-78.0232833333333,-11.014
"1767_13",-78.3362333333333,-11.1671
"1767_14",-78.4193833333333,-11.08685
"1768_1",-79.49665,-9.28525
"1768_2",-79.6021666666667,-9.59668333333333
"1768_3",-79.4970833333333,-9.68025
"1768_4",-79.4970833333333,-9.68025
"1768_5",-80.1292166666667,-9.25316666666667
"1768_6",-80.16945,-9.45326666666667
"1768_7",-80.22195,-9.47118333333333
"1768_8",-80.1192166666667,-9.51341666666667
"1768_9",-80.1688666666667,-9.58588333333333
"1768_10",-79.8456666666667,-8.93686666666667
"1768_11",-79.8200333333333,-8.90445
"1769_1",-81.0698333333333,-5.71156666666667
"1769_2",-80.9755833333333,-6.25641666666667
"1769_3",-80.9507833333333,-6.22441666666667
"1769_4",-80.9287333333333,-6.23791666666667
"1769_5",-80.74695,-6.39706666666667
"1769_6",-80.7715666666667,-6.51188333333333
"1769_7",-80.7601166666667,-6.48713333333333
"1769_8",-80.7526833333333,-6.471
"1769_9",-80.8085,-6.44526666666667
"1769_10",-80.9255333333333,-6.20465
"1769_11",-80.9027833333333,-6.21201666666667
"1770_1",-80.9762,-6.29151666666667
"1770_2",-80.9357,-6.2426
"1770_3",-80.9518,-6.22183333333333
